dt,shop_cash,doc_id,product,category,amount,price,discount
2025-05-17,33_2,AKEwMhdi_2025-05-17,гель для мытья посуды,бытовая химия,7,150,30.0
2025-05-17,33_2,AKEwMhdi_2025-05-17,соль для ПММ,бытовая химия,58,200,30.0
2025-05-17,33_2,AKEwMhdi_2025-05-17,ложка,посуда,94,90,0.0
2025-05-17,33_2,83cXkIc0_2025-05-17,подушка,текстиль,72,3200,320.0
2025-05-17,33_2,83cXkIc0_2025-05-17,стиральный порошок,бытовая химия,97,500,0.0
2025-05-17,33_2,83cXkIc0_2025-05-17,вилка,посуда,39,85,4.25
2025-05-17,33_2,83cXkIc0_2025-05-17,пятновыводитель,бытовая химия,80,300,60.0
2025-05-17,33_2,83cXkIc0_2025-05-17,ложка,посуда,40,90,0.0
2025-05-17,33_2,HsoPXcMx_2025-05-17,соль для ПММ,бытовая химия,51,200,40.0
2025-05-17,33_2,HsoPXcMx_2025-05-17,вилка,посуда,66,85,17.0
2025-05-17,33_2,HsoPXcMx_2025-05-17,плед,текстиль,21,2000,300.0
2025-05-17,33_2,HsoPXcMx_2025-05-17,одеяло,текстиль,14,7000,700.0
2025-05-17,33_2,HsoPXcMx_2025-05-17,постельное белье,текстиль,22,1900,190.0
2025-05-17,33_2,HsoPXcMx_2025-05-17,гель для мытья посуды,бытовая химия,89,150,22.5
