dt,shop_cash,doc_id,product,category,amount,price,discount
2025-05-17,33_1,3csfsMJr_2025-05-17,пятновыводитель,бытовая химия,65,300,60.0
2025-05-17,33_1,3csfsMJr_2025-05-17,кружка,посуда,89,180,18.0
2025-05-17,33_1,3csfsMJr_2025-05-17,постельное белье,текстиль,14,1900,380.0
2025-05-17,33_1,3csfsMJr_2025-05-17,гель для мытья посуды,бытовая химия,100,150,22.5
2025-05-17,33_1,3csfsMJr_2025-05-17,одеяло,текстиль,90,7000,700.0
2025-05-17,33_1,3csfsMJr_2025-05-17,вилка,посуда,19,85,4.25
2025-05-17,33_1,3csfsMJr_2025-05-17,соль для ПММ,бытовая химия,16,200,10.0
2025-05-17,33_1,zzl2LLxq_2025-05-17,постельное белье,текстиль,16,1900,95.0
2025-05-17,33_1,zzl2LLxq_2025-05-17,пятновыводитель,бытовая химия,73,300,45.0
2025-05-17,33_1,zzl2LLxq_2025-05-17,стиральный порошок,бытовая химия,58,500,50.0
2025-05-17,33_1,zzl2LLxq_2025-05-17,кружка,посуда,44,180,0.0
2025-05-17,33_1,zzl2LLxq_2025-05-17,ложка,посуда,84,90,4.5
2025-05-17,33_1,zzl2LLxq_2025-05-17,соль для ПММ,бытовая химия,90,200,0.0
2025-05-17,33_1,J7q4I96T_2025-05-17,постельное белье,текстиль,100,1900,0.0
2025-05-17,33_1,J7q4I96T_2025-05-17,пятновыводитель,бытовая химия,67,300,0.0
2025-05-17,33_1,J7q4I96T_2025-05-17,подушка,текстиль,94,3200,480.0
2025-05-17,33_1,J7q4I96T_2025-05-17,соль для ПММ,бытовая химия,29,200,30.0
2025-05-17,33_1,J7q4I96T_2025-05-17,гель для мытья посуды,бытовая химия,56,150,0.0
2025-05-17,33_1,J7q4I96T_2025-05-17,стиральный порошок,бытовая химия,78,500,25.0
