dt,shop_cash,doc_id,product,category,amount,price,discount
2025-05-17,22_2,IplnXxBo_2025-05-17,соль для ПММ,бытовая химия,36,200,10.0
2025-05-17,22_2,IplnXxBo_2025-05-17,пятновыводитель,бытовая химия,91,300,45.0
2025-05-17,22_2,IplnXxBo_2025-05-17,плед,текстиль,28,2000,0.0
2025-05-17,22_2,IplnXxBo_2025-05-17,ложка,посуда,19,90,9.0
2025-05-17,22_2,IplnXxBo_2025-05-17,стиральный порошок,бытовая химия,7,500,50.0
2025-05-17,22_2,IplnXxBo_2025-05-17,кружка,посуда,31,180,18.0
2025-05-17,22_2,IplnXxBo_2025-05-17,гель для мытья посуды,бытовая химия,15,150,22.5
2025-05-17,22_2,IplnXxBo_2025-05-17,одеяло,текстиль,77,7000,0.0
2025-05-17,22_2,iXauuzPU_2025-05-17,пятновыводитель,бытовая химия,45,300,45.0
2025-05-17,22_2,rl2SrNvY_2025-05-17,тарелка,посуда,65,160,16.0
2025-05-17,22_2,rl2SrNvY_2025-05-17,ложка,посуда,47,90,9.0
2025-05-17,22_2,rl2SrNvY_2025-05-17,стиральный порошок,бытовая химия,67,500,100.0
2025-05-17,22_2,rl2SrNvY_2025-05-17,гель для мытья посуды,бытовая химия,37,150,30.0
2025-05-17,22_2,rl2SrNvY_2025-05-17,постельное белье,текстиль,86,1900,0.0
2025-05-17,22_2,rl2SrNvY_2025-05-17,плед,текстиль,67,2000,0.0
2025-05-17,22_2,rl2SrNvY_2025-05-17,пятновыводитель,бытовая химия,33,300,15.0
